2023-09-30 21:38:32,016.bbq_producer.INFO ==================================================
2023-09-30 21:38:32,041.bbq_producer.INFO Today is 2023-09-30 at 09:38 PM
2023-09-30 21:38:32,166.bbq_producer.INFO Running on: nt Windows 10
2023-09-30 21:38:32,300.bbq_producer.INFO Python version:  3.10.9
2023-09-30 21:38:32,386.bbq_producer.INFO Python path: C:\Users\amaar\anaconda3
2023-09-30 21:38:32,401.bbq_producer.INFO Working dir: C:\Users\amaar\OneDrive\Desktop\NW\Data Streaming\streaming-06-smart-smoker-
2023-09-30 21:38:32,432.bbq_producer.INFO ==================================================
2023-09-30 21:38:37,962.bbq_producer.INFO Seeing if you want to monitor RabbitMQ queues
2023-09-30 21:38:40,052.bbq_producer.INFO Answer is y.
2023-09-30 21:38:50,497.bbq_producer.INFO Skipping header row
2023-09-30 21:38:50,501.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '84.2') to 01-smoker
2023-09-30 21:38:50,505.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-A
2023-09-30 21:38:50,508.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-B
2023-09-30 21:39:20,521.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '84.2') to 01-smoker
2023-09-30 21:39:20,522.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-A
2023-09-30 21:39:20,523.bbq_producer.INFO  [x] Sent ('5/22/2021 12:20', '') to 02-food-B
2023-09-30 21:39:50,535.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '87.6') to 01-smoker
2023-09-30 21:39:50,537.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-A
2023-09-30 21:39:50,540.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-B
2023-09-30 21:40:20,728.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '87.6') to 01-smoker
2023-09-30 21:40:20,885.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-A
2023-09-30 21:40:21,024.bbq_producer.INFO  [x] Sent ('5/22/2021 12:21', '') to 02-food-B
2023-09-30 21:40:51,193.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '86.3') to 01-smoker
2023-09-30 21:40:51,196.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-A
2023-09-30 21:40:51,202.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-B
2023-09-30 21:41:21,606.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '86.3') to 01-smoker
2023-09-30 21:41:21,651.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-A
2023-09-30 21:41:21,693.bbq_producer.INFO  [x] Sent ('5/22/2021 12:22', '') to 02-food-B
